Date,Sales,Product,Region,Quantity
2023-01-01,3884.0,Tablet,East,28
2023-01-02,1667.916708323414,Keyboard,West,48
2023-01-03,4911.33466539753,Phone,South,33
2023-01-04,2229.7601033306696,Tablet,South,33
2023-01-05,4541.709171154325,Keyboard,South,37
2023-01-06,2562.7127693021016,Monitor,South,2
2023-01-07,1641.3212366975176,Keyboard,West,17
2023-01-08,4435.108843618846,Laptop,West,12
2023-01-09,1816.6780454497614,Laptop,East,8
2023-01-10,3442.6634548137417,Tablet,East,23
2023-01-11,2002.7354924039482,Laptop,South,43
2023-01-12,3200.603680030718,Monitor,North,10
2023-01-13,2290.019542983613,Phone,East,9
2023-01-14,4720.779092708596,Phone,North,22
2023-01-15,1753.72486499423,Laptop,South,14
2023-01-16,4514.747493302028,Monitor,West,37
2023-01-17,2752.7868015207523,Monitor,South,23
2023-01-18,2740.832405226234,Monitor,East,22
2023-01-19,5162.923815439098,Laptop,North,39
2023-01-20,3185.1500438437074,Laptop,North,49
2023-01-21,3717.648713412841,Tablet,East,5
2023-01-22,5260.604683324437,Monitor,South,30
2023-01-23,2029.2482019097952,Tablet,East,37
2023-01-24,3582.85260608836,Phone,North,34
2023-01-25,1721.7315902755754,Laptop,North,10
2023-01-26,2084.236072051978,Monitor,East,47
2023-01-27,4609.7506859107325,Tablet,West,3
2023-01-28,4283.689940116915,Monitor,North,30
2023-01-29,4645.494075077952,Keyboard,North,4
2023-01-30,1831.624664606991,Phone,East,33
2023-01-31,3708.5600040299337,Keyboard,South,44
2023-02-01,2580.7903312166454,Tablet,West,35
2023-02-02,4931.81292828621,Tablet,East,6
2023-02-03,1248.1271529283756,Phone,South,34
2023-02-04,1466.2294489865842,Tablet,South,14
2023-02-05,2837.60838615519,Laptop,North,2
2023-02-06,2542.739778352574,Keyboard,South,18
2023-02-07,1695.0819295457534,Keyboard,North,35
2023-02-08,4385.07105452864,Tablet,West,11
2023-02-09,1469.116920408013,Keyboard,North,5
2023-02-10,857.5987523460359,Monitor,West,37
2023-02-11,1357.8614444677946,Laptop,North,25
2023-02-12,4075.212113793206,Laptop,East,24
2023-02-13,2829.9170316252726,Tablet,South,18
2023-02-14,3134.198963055242,Tablet,East,15
2023-02-15,3851.2349411674513,Laptop,West,13
2023-02-16,2897.1544981832676,Laptop,West,35
2023-02-17,4052.0383712179496,Phone,North,46
2023-02-18,4010.91769558208,Phone,South,37
2023-02-19,3695.7736936878337,Tablet,North,8
2023-02-20,3750.5378626684305,Tablet,North,30
2023-02-21,1548.092658836134,Phone,East,29
2023-02-22,4384.272672139923,Tablet,North,40
2023-02-23,3234.8662788880497,Phone,West,18
2023-02-24,2243.6177562220064,Monitor,West,46
2023-02-25,2800.229837214804,Keyboard,West,1
2023-02-26,3375.3666810638397,Laptop,South,40
2023-02-27,3610.6572287011813,Monitor,West,22
2023-02-28,3600.6989102931216,Laptop,West,8
2023-03-01,4634.061667584882,Keyboard,West,6
2023-03-02,3063.292250900537,Tablet,North,27
2023-03-03,3715.9187478639524,Phone,South,5
2023-03-04,2838.455298591252,Phone,West,37
2023-03-05,3675.4069502421753,Tablet,South,6
2023-03-06,4743.2746024252465,Monitor,North,3
2023-03-07,3973.559994043908,Keyboard,West,19
2023-03-08,2722.7706817566896,Keyboard,East,29
2023-03-09,3404.424960308299,Laptop,East,9
2023-03-10,1539.0566755693044,Phone,East,1
2023-03-11,2506.2198821941,Phone,North,41
2023-03-12,3905.4932993593948,Monitor,East,49
2023-03-13,1384.4845200629384,Phone,North,31
2023-03-14,1890.8339319245765,Phone,East,49
2023-03-15,1597.2183103142825,Laptop,South,46
2023-03-16,2003.3540479058133,Keyboard,South,17
2023-03-17,1627.9999883873695,Keyboard,North,13
2023-03-18,2340.9598360157433,Laptop,East,27
2023-03-19,3670.0841169385003,Keyboard,East,25
2023-03-20,4667.271672687302,Monitor,North,26
2023-03-21,2388.470670919886,Monitor,North,43
2023-03-22,2977.679123311691,Monitor,West,28
2023-03-23,4532.944905422543,Keyboard,East,17
2023-03-24,2410.365278339886,Keyboard,South,9
2023-03-25,4391.085916878146,Monitor,North,30
2023-03-26,1978.2994540441402,Keyboard,East,40
2023-03-27,2186.243556311745,Laptop,North,36
2023-03-28,2436.198548937057,Phone,East,26
2023-03-29,2781.484615041091,Laptop,South,31
2023-03-30,1523.4585964458809,Monitor,East,46
2023-03-31,2928.510428228942,Monitor,West,6
2023-04-01,1261.0592426208782,Monitor,East,19
2023-04-02,4803.549181174676,Laptop,South,43
2023-04-03,1383.4449570501229,Phone,East,20
2023-04-04,1109.2272117535308,Keyboard,West,38
2023-04-05,3181.3877127266787,Tablet,South,8
2023-04-06,2513.4244397690954,Phone,South,16
2023-04-07,1174.8366093885093,Phone,North,38
2023-04-08,4631.119686794528,Phone,North,4
2023-04-09,1130.7604353740358,Monitor,West,3
2023-04-10,1226.2320531123394,Tablet,East,12
2023-04-11,3980.989444555315,Monitor,East,5
2023-04-12,4165.464675553559,Monitor,South,1
2023-04-13,878.0626562032282,Monitor,West,36
2023-04-14,720.1570951182088,Phone,North,13
2023-04-15,4316.086765457173,Phone,East,13
2023-04-16,3731.152120014165,Monitor,South,12
2023-04-17,3771.6122891935966,Tablet,North,14
2023-04-18,1746.6824918649058,Monitor,West,14
2023-04-19,2528.531884966754,Tablet,East,21
2023-04-20,965.2818733468113,Keyboard,East,30
2023-04-21,2589.0048967246485,Laptop,West,12
2023-04-22,3938.7237058980054,Tablet,West,36
2023-04-23,1290.4111354243414,Monitor,North,33
2023-04-24,4472.990375048956,Monitor,North,26
2023-04-25,1691.335737167662,Keyboard,South,29
2023-04-26,2121.273912655786,Laptop,South,42
2023-04-27,1005.5857025156461,Laptop,East,15
2023-04-28,3414.008208040484,Tablet,West,31
2023-04-29,1681.237457611439,Phone,North,38
2023-04-30,2081.9314438814836,Phone,West,40
2023-05-01,1641.7135409997825,Keyboard,East,45
2023-05-02,2370.1762677327,Phone,West,16
2023-05-03,4736.885358881586,Laptop,North,8
2023-05-04,3730.3841043170996,Keyboard,West,19
2023-05-05,4140.197912275846,Tablet,West,32
2023-05-06,2350.8390513244,Tablet,South,8
2023-05-07,1966.8115236105693,Tablet,North,28
2023-05-08,1746.616020709972,Keyboard,South,5
2023-05-09,4616.754912550769,Monitor,West,16
2023-05-10,3209.7372195688467,Monitor,South,41
2023-05-11,1213.0835184133205,Tablet,West,41
2023-05-12,3229.3307321861876,Laptop,North,5
2023-05-13,3419.0367573536123,Monitor,North,28
2023-05-14,3590.7848810983014,Monitor,East,6
2023-05-15,1617.1879449762243,Phone,East,42
2023-05-16,5268.892213275811,Laptop,South,35
2023-05-17,3498.5809074282483,Laptop,East,26
2023-05-18,1923.9773711542314,Keyboard,East,42
2023-05-19,1891.8478347220523,Phone,South,11
2023-05-20,3750.003750697488,Laptop,West,24
2023-05-21,1630.3036778474352,Phone,East,48
2023-05-22,2654.654694373959,Monitor,West,17
2023-05-23,2611.0133263581806,Keyboard,West,5
2023-05-24,3654.3859821373067,Keyboard,North,44
2023-05-25,2383.8288882746388,Monitor,South,28
2023-05-26,4782.447527762341,Laptop,North,35
2023-05-27,4053.3955860702517,Tablet,West,33
2023-05-28,2574.8734155714665,Phone,South,10
2023-05-29,5263.1260336876585,Monitor,East,23
2023-05-30,3142.440674755988,Laptop,East,5
2023-05-31,2039.1439200785585,Tablet,West,14
2023-06-01,4200.5984348299935,Keyboard,East,26
2023-06-02,2175.199344426899,Laptop,North,36
2023-06-03,3000.370286565306,Monitor,North,29
2023-06-04,4787.559178372851,Monitor,West,11
2023-06-05,4908.233740968898,Tablet,North,5
2023-06-06,1213.8768261497212,Laptop,East,28
2023-06-07,1183.9815918929678,Laptop,West,34
2023-06-08,2753.0465748861593,Tablet,North,15
2023-06-09,1226.5707093129054,Phone,North,44
2023-06-10,2412.0483416674674,Monitor,East,43
2023-06-11,951.9642914079955,Keyboard,West,6
2023-06-12,4494.789006800767,Laptop,West,8
2023-06-13,759.9738643566103,Monitor,North,16
2023-06-14,1084.9466588260248,Tablet,West,39
2023-06-15,2863.1073288154384,Keyboard,South,43
2023-06-16,3117.8239607328505,Tablet,East,23
2023-06-17,4343.429110990127,Keyboard,East,46
2023-06-18,3587.2164832092476,Keyboard,South,4
2023-06-19,4220.437993632815,Monitor,South,41
2023-06-20,4062.3012540602217,Tablet,East,21
2023-06-21,1582.9674974591783,Monitor,West,27
2023-06-22,801.5499669792019,Laptop,South,33
2023-06-23,3794.1127844634943,Keyboard,East,34
2023-06-24,3801.6703097646837,Laptop,East,49
2023-06-25,1833.1869972659213,Phone,West,43
2023-06-26,3334.577751040938,Tablet,West,19
2023-06-27,1158.7087751044078,Tablet,West,28
2023-06-28,1698.3989102572093,Tablet,South,30
2023-06-29,1690.4214441692568,Tablet,West,14
2023-06-30,3593.506376614162,Keyboard,North,15
2023-07-01,1381.34311722225,Keyboard,North,49
2023-07-02,2363.583588796858,Tablet,East,22
2023-07-03,2333.8457051866344,Phone,East,28
2023-07-04,2429.717188964053,Tablet,South,11
2023-07-05,4548.759690765194,Laptop,South,17
2023-07-06,1545.5131691316897,Phone,North,32
2023-07-07,3449.5004870929006,Laptop,West,31
2023-07-08,2766.2321795608163,Keyboard,West,8
2023-07-09,1073.2113439034074,Tablet,West,46
2023-07-10,1306.9386048314761,Tablet,East,3
2023-07-11,2131.91710399148,Phone,South,41
2023-07-12,3891.657464409949,Keyboard,West,10
2023-07-13,1971.6826801864465,Laptop,East,20
2023-07-14,1769.5328825788497,Keyboard,West,13
2023-07-15,4446.769934859801,Phone,East,35
2023-07-16,2115.9818100340676,Laptop,West,27
2023-07-17,4941.786707676075,Laptop,East,1
2023-07-18,5241.836868753553,Laptop,East,8
2023-07-19,2534.8220503208345,Tablet,North,36
2023-07-20,2041.472625363814,Monitor,North,45
2023-07-21,4258.562276823947,Tablet,East,26
2023-07-22,5059.9102588834885,Phone,East,12
2023-07-23,1587.3832029179534,Phone,East,39
2023-07-24,5305.896450071335,Laptop,North,27
2023-07-25,4459.4148971394,Monitor,West,41
2023-07-26,4506.953347309308,Laptop,North,32
2023-07-27,2501.5763622510576,Tablet,West,48
2023-07-28,3320.3976170386204,Tablet,West,30
2023-07-29,4628.5787643461745,Laptop,East,29
2023-07-30,4877.327819268028,Phone,West,9
2023-07-31,4613.897080900547,Tablet,West,44
2023-08-01,2012.58061145299,Tablet,North,15
2023-08-02,1432.7112980751194,Monitor,West,47
2023-08-03,3116.657526758829,Keyboard,South,32
2023-08-04,1414.819501547098,Tablet,North,14
2023-08-05,2498.6252458274703,Phone,West,39
2023-08-06,4665.526325663863,Keyboard,North,42
2023-08-07,4420.993337897718,Phone,North,44
2023-08-08,4416.511208099922,Laptop,East,48
2023-08-09,2901.574345354798,Keyboard,North,45
2023-08-10,2591.68170228796,Keyboard,West,44
2023-08-11,2042.331789696619,Tablet,South,15
2023-08-12,4442.017695594476,Monitor,South,1
2023-08-13,1236.2221584392819,Laptop,East,30
2023-08-14,2184.4127437697452,Phone,South,24
2023-08-15,816.0371724452181,Keyboard,West,20
2023-08-16,2416.5188471668753,Phone,West,17
2023-08-17,4540.252621977877,Monitor,South,17
2023-08-18,3181.600857012291,Phone,East,3
2023-08-19,2477.889797912415,Tablet,East,3
2023-08-20,3464.406316090159,Phone,South,39
2023-08-21,3948.39504240273,Keyboard,East,35
2023-08-22,4145.055922881965,Monitor,North,36
2023-08-23,3990.542220939675,Tablet,North,1
2023-08-24,4310.9589860103015,Monitor,West,16
2023-08-25,1335.362003931686,Tablet,West,38
2023-08-26,4234.757239551422,Monitor,East,32
2023-08-27,2368.1007771280683,Laptop,East,49
2023-08-28,1888.2992591227228,Monitor,South,49
2023-08-29,4436.210818996688,Keyboard,North,26
2023-08-30,3628.646498695035,Tablet,West,38
2023-08-31,2688.3721366530235,Keyboard,South,15
2023-09-01,2205.110707461053,Phone,West,1
2023-09-02,4308.545089810989,Tablet,West,8
2023-09-03,4113.321235067438,Keyboard,East,28
2023-09-04,2393.051704804689,Phone,South,23
2023-09-05,3809.3195419633857,Phone,West,22
2023-09-06,1423.682436947639,Keyboard,South,41
2023-09-07,3153.6771470363037,Laptop,North,7
2023-09-08,1334.8241249511134,Keyboard,West,8
2023-09-09,4155.632310334578,Laptop,North,42
2023-09-10,3601.604036262739,Tablet,East,19
2023-09-11,4124.2400017685795,Laptop,North,43
2023-09-12,4328.044260692236,Laptop,West,33
2023-09-13,3281.5291770110844,Laptop,South,35
2023-09-14,2849.2202971376946,Laptop,South,42
2023-09-15,4941.661090503238,Phone,South,36
2023-09-16,4918.41751106002,Monitor,North,20
2023-09-17,4151.082334126122,Tablet,West,12
2023-09-18,1385.2792252398012,Tablet,West,26
2023-09-19,1701.6665003690407,Laptop,South,15
2023-09-20,2095.9405399054453,Keyboard,South,39
2023-09-21,4645.83882233101,Keyboard,North,42
2023-09-22,4497.142547246349,Laptop,West,10
2023-09-23,1742.6788215519587,Tablet,West,27
2023-09-24,1645.322386938919,Laptop,North,16
2023-09-25,2446.9968714285105,Tablet,North,10
2023-09-26,5427.675552455779,Laptop,South,6
2023-09-27,4645.381623872576,Tablet,North,20
2023-09-28,4212.187964202251,Keyboard,West,41
2023-09-29,1882.2164084615429,Monitor,West,34
2023-09-30,2120.636530825361,Laptop,West,33
2023-10-01,5171.66395029769,Monitor,South,18
2023-10-02,1785.5581763177638,Phone,South,41
2023-10-03,4941.620015827549,Tablet,North,23
2023-10-04,4216.1885677081955,Tablet,South,26
2023-10-05,2581.6378346161223,Monitor,South,41
2023-10-06,2379.3729860720964,Monitor,East,32
2023-10-07,1644.826310141309,Monitor,West,3
2023-10-08,1752.4528941539345,Keyboard,South,48
2023-10-09,2779.726077622946,Keyboard,East,26
2023-10-10,1971.1327227921788,Tablet,South,49
2023-10-11,3119.1683500697204,Phone,North,49
2023-10-12,2902.3321869517836,Tablet,West,33
2023-10-13,3255.1221799066016,Phone,North,40
2023-10-14,4240.030019057901,Monitor,North,3
2023-10-15,3900.5362253797284,Phone,South,27
2023-10-16,2929.105349489713,Monitor,North,38
2023-10-17,1821.1813300128497,Tablet,West,42
2023-10-18,4239.183057893516,Laptop,South,27
2023-10-19,2394.500190975611,Tablet,South,16
2023-10-20,2686.489260670192,Laptop,North,2
2023-10-21,695.4701096114649,Laptop,North,30
2023-10-22,1233.7226958949066,Tablet,South,34
2023-10-23,707.4842958285233,Phone,West,49
2023-10-24,1122.9471331464074,Monitor,East,45
2023-10-25,1737.2564583727321,Laptop,West,43
2023-10-26,4290.509097526526,Laptop,North,45
2023-10-27,3175.7524846680926,Keyboard,West,20
2023-10-28,2191.984187953569,Laptop,West,26
2023-10-29,3189.1519339330976,Laptop,North,28
2023-10-30,3851.15412984986,Keyboard,West,25
2023-10-31,613.8408787213227,Laptop,South,7
2023-11-01,2390.0154770603367,Keyboard,South,15
2023-11-02,2381.4363802713574,Monitor,West,3
2023-11-03,1247.8196160842033,Monitor,North,35
2023-11-04,861.8416219111061,Phone,South,2
2023-11-05,1794.142477777134,Keyboard,North,29
2023-11-06,1425.3295025216123,Tablet,South,33
2023-11-07,3197.9811773384677,Monitor,West,36
2023-11-08,3555.651357452814,Keyboard,East,26
2023-11-09,2549.8737298520577,Tablet,South,10
2023-11-10,2927.1664725313817,Keyboard,East,40
2023-11-11,3646.037068699951,Tablet,West,49
2023-11-12,3845.9872278458733,Phone,East,18
2023-11-13,4986.517864490294,Keyboard,West,42
2023-11-14,2809.1340848845116,Keyboard,North,8
2023-11-15,4839.350131824731,Monitor,North,7
2023-11-16,2386.6942381774793,Tablet,South,18
2023-11-17,2728.7133406208454,Laptop,South,32
2023-11-18,4770.977606503442,Monitor,West,39
2023-11-19,2200.0847285901673,Keyboard,North,23
2023-11-20,2895.6639447831126,Phone,West,31
2023-11-21,3770.37974265389,Tablet,North,12
2023-11-22,2977.9352117729154,Phone,West,26
2023-11-23,5018.075010340264,Tablet,East,49
2023-11-24,3110.58791647654,Phone,North,40
2023-11-25,5438.30893868207,Laptop,North,27
2023-11-26,4782.120964377432,Laptop,North,37
2023-11-27,4900.955930053634,Laptop,East,11
2023-11-28,4464.795501340197,Phone,East,14
2023-11-29,3259.6712561961294,Tablet,North,27
2023-11-30,1678.6643693933902,Laptop,North,45
2023-12-01,2824.9048014454097,Phone,South,2
2023-12-02,1912.5700000845882,Laptop,South,49
2023-12-03,2802.883127263221,Laptop,South,34
2023-12-04,2792.1108293930315,Phone,West,22
2023-12-05,4230.56057310237,Phone,East,10
2023-12-06,1942.577573131298,Tablet,East,39
2023-12-07,1668.541343060012,Keyboard,East,31
2023-12-08,3735.8619033346117,Keyboard,West,3
2023-12-09,2327.975684478331,Keyboard,West,27
2023-12-10,4618.341166422014,Monitor,South,35
2023-12-11,2756.434297524205,Tablet,West,21
2023-12-12,4460.743739052462,Phone,South,34
2023-12-13,2570.7659826415243,Phone,South,49
2023-12-14,2282.000389512999,Keyboard,East,30
2023-12-15,3199.944201023109,Keyboard,East,28
2023-12-16,3071.087570391429,Tablet,North,30
2023-12-17,4214.9086652519245,Monitor,East,2
2023-12-18,1842.8688899600365,Laptop,East,7
2023-12-19,1322.4082753928674,Laptop,West,29
2023-12-20,1698.9410823061153,Tablet,East,43
2023-12-21,3160.851662177542,Keyboard,West,41
2023-12-22,3510.490616894047,Phone,West,20
2023-12-23,2813.171295653522,Laptop,South,33
2023-12-24,4267.166664083235,Tablet,West,33
2023-12-25,3654.7065768575185,Monitor,West,37
2023-12-26,2754.975481065837,Laptop,North,6
2023-12-27,3955.110573278442,Phone,South,35
2023-12-28,3241.2004287235986,Keyboard,North,37
2023-12-29,918.2841162731761,Phone,North,45
2023-12-30,2065.3508080793986,Monitor,East,28
2023-12-31,4492.33988776312,Keyboard,East,35
2024-01-01,1435.1415560726473,Tablet,East,40
2024-01-02,1648.5979279615694,Monitor,South,49
2024-01-03,1510.504610123949,Tablet,West,31
2024-01-04,998.612743224675,Laptop,South,12
2024-01-05,3539.6314884196713,Monitor,West,35
2024-01-06,2756.2309333215003,Tablet,North,45
2024-01-07,1917.0453883748687,Tablet,North,28
2024-01-08,1148.6770407057925,Phone,North,8
